번호,신고일자,법인또는상호,운영상태,"소재지주소(도로명주소, 없으면 지번주소)",호스트서버 업체명,호스트서버 도메인명,호스트서버 도메인유형,취급품목,취급품목세부사항,판매방식
1,20171120,슈슈앤토퍼,정상영업,경기도 양주시 화합로1325번길 22-33， 211동 1101호 (덕정동， 양주서희스타힐스2단지),-,http://blog.naver.com/ming6622,개인,기타,케이크토퍼,인터넷
2,20171120,한국상사,정상영업,경기도 양주시 광적면 그루고개로221번길 144-20， 공장동 101호,-,옥션,오픈,종합몰,-,인터넷
3,20171120,피알오(PRO MEDIA),정상영업,경기도 양주시 청담로42번길 13-4 (고읍동),-,네이버 스토어팜,오픈,기타,원단,인터넷
4,20171120,제이디(JJ-MALL),정상영업,경기도 양주시 고덕로 89， 101동 902호 (덕계동， 양주푸르지오아파트),-,네이버 스토어팜,오픈,종합몰 교육/도서/완구/오락 가전 의류/패션/잡화/뷰티 건강/식품,-,인터넷
5,20161123,주식회사 클럽타이콘,정상영업,경기도 양주시 장흥면 가마골로147번길 41， 1층,-,www.clubtycon.com,-,교육/도서/완구/오락,-,인터넷 기타
6,20171117,로스팅박스,정상영업,경기도 양주시 고읍남로39번길 131-17， 1층 (광사동),-,네이버스토어팜,오픈,기타,원두커피,인터넷
7,20171116,로이파파,정상영업,경기도 양주시 백석읍 고릉말로45번길 41-16,-,https://blog.naver.com/kongaju,개인,의류/패션/잡화/뷰티,-,인터넷
8,20170720,핑크마켓,정상영업,경기도 양주시 광적면 지섬로198번길 16， 101동 106호 (벨라시티아파트),-,http://www.pinkmarket.co.kr,-,의류/패션/잡화/뷰티,-,인터넷
9,20171115,디 르메르(de_remere),정상영업,경기도 양주시 고읍남로39번길 48， 113동 11층 02호 (광사동， 해동마을신도브래뉴),-,http://blog.naver.com/de_remere,개인,의류/패션/잡화/뷰티,-,인터넷
10,20171115,남매네 전기가게,정상영업,경기도 양주시 고암길 200， 105동 1901호 (고암동， 덕정 중흥에스클래스),-,http://storefarm.naver.com/nammegage,오픈,기타,전구,인터넷
11,20150717,우리원격평생교육원,정상영업,경기도 양주시 평화로1667번길 6 (회정동),-,www.wooriedu.co.kr,-,교육/도서/완구/오락,-,인터넷 카다로그 신문잡지 기타
12,20171114,솜일홍,정상영업,경기도 양주시 고암길 354， 504동 304호 (덕정동， 봉우마을),-,http://boa1672.blog.me,개인,의류/패션/잡화/뷰티,-,인터넷
13,20160530,주식회사 디케이팩토리,정상영업,경기도 양주시 광적면 화합로81번길 79,(주)이베이코리아,www.dkfactory.co.kr,개인,성인/성인용품,-,인터넷
14,20171110,우정펫,정상영업,경기도 양주시 광적면 부흥로 847， 428호 (경기벤처센터(양주)),-,www.woojoungpet.com,개인,종합몰 기타,반려동물용품,인터넷 TV홈쇼핑 카다로그 신문잡지 기타
15,20171110,더 1st 버스데이,정상영업,경기도 양주시 청담로116번길 306-12 (옥정동),카페24,www.thefirstbirthday.com,개인,의류/패션/잡화/뷰티,-,인터넷
16,20171109,긴 숨 쉬는 시간,정상영업,경기도 양주시 백석읍 중앙로223번길 43-8， 104동 4층 1호 (대웅클래식빌),-,http://storefarm.naver.com/ginsuum,오픈,기타,팬시용품,인터넷
17,20171107,(주)고센,정상영업,경기도 양주시 어하고개로132번길 87 (삼숭동),-,툴마켓,개인,종합몰,-,인터넷 카다로그 신문잡지
18,20170925,라온,정상영업,경기도 양주시 옥정로 204， 4층 403호 (옥정동， 한길프라자),-,storefarm.naver.com/wwstory,-,종합몰,-,인터넷
19,20110822,(주)스카이코리아,정상영업,경기도 양주시 청담로84번길 39 (고읍동),카페24,www.icecream114.com    www.1coffee.kr     www.iskykorea.com,-,기타 건강/식품,커피  아이스크림기계,인터넷
20,20171107,로이터(LOITER),정상영업,경기도 양주시 회천남로 115， 1608동 13층 4호 (옥정동),-,www.loiter.co.kr,개인,의류/패션/잡화/뷰티,-,인터넷
21,20171106,에이알샵(ARShop),정상영업,경기도 양주시 삼숭로38번길 91， 408동 1301호 (삼숭동， 양주자이아파트),-,http://chzhfpt1.cafe24.com/,개인,종합몰,-,인터넷
22,20171106,태흥,정상영업,경기도 양주시 광적면 부흥로231번길 127-1,-,http://storefarm.naver.com/taeheungfree,오픈,가전 컴퓨터/사무용품 의류/패션/잡화/뷰티,-,인터넷
23,20171103,차씨,정상영업,경기도 양주시 백석읍 꿈나무로 311， 205동 4층 6호 (동화은하수 초록마을아파트),-,http://blog.naver.com/chamye__0_0,개인,의류/패션/잡화/뷰티 건강/식품,-,인터넷
24,20171102,스위트베이비,정상영업,경기도 양주시 고읍로35번길 8， 302동 702호 (고읍동， 산내들마을우미린아파트),-,http://cafe.naver.com/sweetbaby1,개인,의류/패션/잡화/뷰티,돌잔치 의상,인터넷
25,20171102,뿌잉쓰,정상영업,경기도 양주시 고덕로 89， 108동 1405호 (덕계동， 양주푸르지오아파트),카페24,http://bbooings.com,개인,의류/패션/잡화/뷰티,-,인터넷
26,20171102,시스터앤맘,정상영업,경기도 양주시 옥정서로 130， 907동 704호 (옥정동， 옥정 센트럴파크 푸르지오),-,http://www.auction.co.kr,오픈,의류/패션/잡화/뷰티,-,인터넷
